id,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r,aprovado
1919,1,1,1,1,1,1,1,0,1,Sim
1925,0,1,1,1,1,1,0,1,1,Não
1928,1,1,1,1,1,0,0,1,0,Não
1931,1,0,1,1,1,1,1,0,0,Sim
1937,0,0,0,0,0,0,0,0,0,Não
1945,1,0,1,1,1,1,1,0,0,Sim
1955,1,1,1,1,1,1,0,1,1,Não
1976,1,0,1,1,1,1,1,0,0,Sim
1980,1,0,1,1,1,0,1,0,0,Sim
2002,1,0,1,1,1,1,1,0,0,Não
2014,1,0,1,1,1,1,1,0,0,Sim
2030,0,0,0,0,0,0,0,0,0,Não
2057,1,1,1,1,1,1,1,0,0,Não
2080,1,1,1,1,1,1,1,0,0,Sim
2086,1,0,1,1,1,1,0,0,0,Sim
2098,0,1,0,0,0,0,0,1,1,Sim
2100,1,1,1,1,1,1,1,0,0,Sim
2102,1,0,1,1,1,1,1,0,0,Sim
2145,1,0,1,1,1,1,1,0,0,Sim
2147,1,0,1,1,1,1,1,0,0,Não
2158,0,0,0,0,0,0,0,0,0,Não
2248,1,0,1,1,1,1,1,0,0,Não
2266,1,0,1,0,0,0,1,0,0,Não
2275,1,1,1,1,1,1,1,1,0,Não
2293,1,0,1,1,1,1,1,0,0,Sim
2325,1,0,1,1,1,1,1,0,0,Não
2334,0,1,1,1,1,0,0,0,1,Não
2337,0,0,0,0,0,0,0,0,0,Não
2342,1,0,1,1,1,1,1,0,0,Sim
2343,1,0,1,1,1,1,1,0,0,Sim
2346,0,0,1,1,1,1,0,0,0,Não
2355,0,1,1,0,0,0,0,1,0,Sim
2378,0,0,0,0,0,0,0,0,0,Não
2392,1,0,1,1,1,1,1,0,0,Não
2407,1,1,1,1,1,1,1,1,0,Não
2414,1,0,1,1,1,1,0,0,0,Sim
2416,0,1,1,1,1,1,0,1,1,Não
2418,1,0,1,1,1,1,1,0,0,Não
2423,0,0,1,1,0,0,1,0,0,Não
2433,0,0,0,0,0,0,0,0,0,Não
2444,1,1,1,1,1,1,0,0,0,Sim
2448,1,0,1,1,1,0,1,1,0,Não
2452,1,0,1,1,1,1,1,0,0,Sim
2465,1,0,1,1,1,1,1,0,0,Não
2472,1,0,1,1,1,1,1,0,0,Não
2480,1,0,1,1,1,1,1,0,0,Não
2481,0,1,0,0,0,0,0,0,0,Não
2495,1,0,1,1,1,1,1,0,0,Não
2499,1,0,1,1,1,1,1,0,0,Sim
2503,1,0,1,1,1,1,0,0,0,Sim
2511,1,0,1,1,1,1,1,0,0,Não
2522,1,1,1,1,1,1,1,0,0,Sim
2529,1,0,1,1,1,1,1,0,0,Não
2561,1,0,1,1,1,1,1,0,0,Não
2562,0,0,1,1,1,1,1,0,0,Não
2568,1,0,1,1,1,1,1,0,0,Não
2570,0,1,0,0,0,0,1,1,1,Sim
2579,1,0,1,1,1,1,1,0,0,Sim
2581,1,0,1,1,1,0,0,0,0,Não
2615,0,0,0,0,0,0,0,0,0,Não
2618,1,0,1,1,1,1,1,0,0,Não
2619,1,0,1,1,1,1,1,0,0,Sim
2622,1,0,1,1,1,1,1,0,0,Não
2623,0,1,0,0,0,0,0,0,1,Sim
2629,1,0,1,1,1,1,1,0,0,Sim
2632,1,0,1,1,1,0,1,0,0,Sim
2655,0,1,1,1,1,1,0,0,1,Não
2666,1,0,1,1,1,1,1,0,0,Não
2671,1,1,1,1,1,0,0,0,1,Não
2691,0,1,1,1,1,1,1,1,1,Não
2698,1,0,1,1,1,1,1,0,0,Não
2730,1,1,1,1,1,0,0,0,1,Não
2740,1,1,1,1,1,1,1,0,0,Sim
2742,0,0,0,0,0,0,0,0,0,Não
2746,1,0,1,1,1,1,1,0,0,Sim
2757,1,1,1,1,1,1,1,0,0,Sim
2782,1,0,1,1,1,1,0,0,0,Não
2795,1,0,1,1,1,1,1,0,0,Sim
2796,0,0,0,0,0,0,0,0,0,Não
2827,1,0,1,1,1,1,1,0,0,Não
2840,0,0,0,0,0,0,0,0,0,Não
2842,1,0,1,1,1,1,1,0,0,Sim
2849,1,0,1,1,1,1,0,0,0,Não
2857,1,0,1,1,1,1,1,1,0,Sim
2859,1,0,1,1,1,1,0,1,0,Não
2872,1,0,1,1,0,0,1,0,0,Não
2903,0,0,1,0,0,0,0,0,0,Não
2914,0,0,0,0,0,0,0,0,0,Não
2921,1,0,1,1,1,1,1,0,0,Sim
2928,1,0,1,1,1,1,0,0,0,Não
2930,0,0,0,0,0,0,0,0,0,Não
2936,1,0,1,1,1,1,1,0,0,Não
2944,1,1,1,1,0,1,1,1,1,Não
2947,1,0,1,1,1,1,1,0,0,Sim
2955,0,0,1,1,1,1,1,0,0,Não
3001,1,0,1,1,1,1,1,0,0,Não
3018,1,0,1,1,1,1,1,1,0,Sim
3057,1,1,1,1,1,1,1,0,1,Sim
3058,0,0,0,0,0,0,0,0,0,Não
3061,1,0,1,1,1,1,1,0,0,Sim
3068,0,0,1,1,0,0,0,0,0,Não
3078,0,0,1,1,0,0,0,0,0,Não
3084,1,1,1,1,1,1,1,0,0,Sim
3101,1,0,1,1,1,1,1,0,0,Não
3105,0,0,0,0,0,0,0,0,0,Não
3106,1,0,1,1,1,0,1,0,0,Não
3110,0,0,0,0,0,0,0,0,0,Não
3124,0,1,1,1,1,0,0,0,1,Sim
3131,0,0,1,1,1,0,0,0,0,Não
3140,0,1,1,1,1,1,0,0,0,Sim
3148,1,1,1,1,1,1,1,0,0,Sim
3158,1,0,1,1,1,1,1,0,0,Sim
3174,1,1,1,1,1,1,0,1,1,Sim
3216,0,0,0,0,0,0,0,0,0,Não
3222,1,0,1,1,0,0,1,0,0,Não
3246,1,1,1,1,1,0,1,0,0,Não
3248,0,1,1,1,1,1,1,1,1,Sim
3253,0,1,1,1,1,1,1,0,1,Não
3258,1,0,1,1,1,1,1,0,0,Sim
3261,1,0,1,1,1,1,1,0,0,Não
3277,1,0,1,1,1,1,0,0,0,Sim
3279,1,0,1,1,1,1,1,0,0,Sim
3280,1,1,1,1,1,1,1,0,0,Sim
3313,1,0,1,1,1,1,1,0,0,Sim
3364,0,1,1,1,1,1,1,1,0,Sim
3407,0,0,1,1,1,1,0,0,0,Não
3425,1,0,1,1,1,1,1,0,0,Não
3432,0,1,1,1,1,0,0,0,0,Sim
3460,1,0,1,1,1,1,1,0,0,Sim
3501,0,0,1,0,0,0,0,0,0,Não
3528,1,0,1,1,1,1,1,0,0,Não
3585,0,0,1,1,1,1,1,0,0,Não
3604,1,0,1,1,1,1,1,0,0,Sim
3610,1,1,1,1,1,1,0,1,1,Não
3616,0,0,1,1,0,0,0,0,0,Não
3641,1,0,1,1,1,1,1,0,0,Sim
3645,0,0,0,0,0,0,0,0,0,Não
3657,0,0,0,0,0,0,1,0,0,Não
3663,1,1,1,1,1,0,0,0,0,Não
3664,1,1,1,1,1,1,1,0,0,Não
3666,1,0,1,1,1,1,1,0,0,Não
3667,0,0,1,1,1,1,1,0,0,Não
3669,1,0,0,0,1,1,1,0,1,Sim
3673,1,0,1,1,1,1,1,0,0,Não
3676,1,0,1,1,1,1,1,0,0,Não
3679,1,0,1,1,1,1,1,0,0,Sim
3690,1,0,1,1,1,1,1,0,0,Sim
3706,1,0,1,1,1,1,1,0,0,Sim
3707,0,0,1,1,1,0,1,0,0,Sim
3718,0,1,0,0,0,0,0,1,1,Sim
3726,1,1,1,1,1,1,1,0,0,Sim
3748,1,1,1,1,1,1,1,1,0,Não
3750,1,0,1,1,1,1,1,0,0,Sim
3764,1,1,1,1,1,1,1,0,0,Sim
3777,1,0,1,1,1,0,1,0,0,Sim
3784,1,1,1,1,1,1,1,0,0,Sim
3787,0,1,1,1,1,1,0,0,1,Não
3790,0,1,1,1,1,1,0,1,1,Não
3791,1,0,1,1,1,1,1,0,0,Não
3795,1,0,1,1,1,1,1,0,0,Sim
3822,0,1,1,1,1,1,1,1,0,Sim
3838,0,0,1,0,0,0,0,0,0,Não
3841,1,0,1,1,1,0,0,0,0,Não
3843,1,0,1,1,1,1,1,0,0,Não
3845,0,1,0,0,0,1,0,1,0,Não
3897,0,1,1,1,1,1,1,0,0,Sim
3903,1,0,1,1,1,1,1,1,1,Sim
3906,1,0,1,1,1,1,1,0,0,Sim
3937,0,0,0,0,0,0,0,0,0,Não
3943,1,0,1,1,1,1,1,1,0,Sim
3949,0,0,0,0,0,0,1,0,0,Não
3952,1,0,1,1,1,1,1,0,0,Sim
3954,0,0,1,1,1,1,1,0,0,Sim
3987,1,0,1,1,1,0,1,0,0,Sim
3993,1,1,1,1,1,1,1,1,1,Sim
4063,1,1,1,1,1,1,1,0,0,Sim
4069,0,0,0,0,0,0,0,0,0,Não
4106,1,0,1,1,1,1,1,0,0,Sim
4112,1,0,1,1,1,1,1,0,0,Sim
4114,1,1,1,1,1,1,0,0,0,Sim
4129,1,0,1,1,1,1,1,0,0,Sim
4143,1,1,1,1,1,1,0,0,1,Sim
4157,1,1,1,1,1,1,1,1,1,Não
4158,1,0,1,1,1,1,1,0,0,Sim
4159,0,0,1,1,1,1,1,0,0,Sim
4161,0,0,0,0,0,0,1,0,0,Sim
4165,0,0,1,1,1,1,1,0,0,Não
4166,1,1,1,1,1,1,0,0,0,Não
4181,0,0,0,0,0,0,0,0,0,Não
4188,1,0,1,1,1,1,1,0,0,Sim
4191,1,0,1,1,1,1,1,0,0,Sim
4192,1,0,1,1,1,1,1,0,0,Não
4201,1,0,1,1,1,1,1,0,0,Não
4228,1,0,1,1,1,1,1,0,0,Sim
4238,1,1,0,1,1,0,1,0,0,Sim
4261,0,1,1,1,1,1,0,0,0,Não
4265,0,0,1,1,1,1,1,0,0,Sim
4267,1,0,1,1,1,1,1,0,0,Não
4280,0,0,0,0,0,0,1,0,0,Não
4281,0,1,1,1,1,1,0,0,0,Não
4287,1,1,1,1,1,1,1,0,1,Não
4289,1,0,1,0,1,1,1,0,0,Sim
4298,0,0,1,1,1,0,0,0,0,Não
4305,0,0,0,0,0,0,0,0,0,Não
4312,1,1,1,1,1,1,1,1,1,Sim
4346,1,0,1,1,1,1,0,0,0,Não
4378,0,0,1,1,1,1,0,0,0,Não
4381,1,0,1,1,1,0,1,0,0,Sim
4383,0,0,1,1,1,1,1,0,0,Não
4390,0,1,1,1,1,0,0,1,1,Sim
4395,1,0,1,1,1,1,1,0,0,Sim
4396,1,1,1,1,1,1,1,0,0,Não
4409,1,1,1,0,0,0,0,1,1,Não
4429,1,0,1,1,0,1,1,0,0,Não
4448,1,0,1,1,1,1,1,0,0,Não
4450,0,0,1,1,1,0,1,0,0,Não
4453,0,0,1,1,1,1,1,0,0,Sim
4460,1,0,1,1,1,1,0,0,0,Não
4482,1,0,1,1,1,1,1,0,0,Sim
4502,1,1,1,1,1,1,1,0,0,Não
4512,1,1,1,1,1,1,1,0,0,Sim
4520,1,1,1,1,1,1,1,0,0,Sim
4545,1,0,1,1,1,1,1,0,0,Sim
4561,1,1,1,1,1,1,1,0,0,Não
4564,1,0,1,1,1,1,1,0,1,Sim
4576,1,1,1,1,1,1,1,0,0,Sim
4581,0,0,0,1,0,0,0,0,0,Não
4586,0,0,0,0,0,0,0,0,0,Não
4594,0,0,0,0,0,0,0,0,0,Não
4604,1,0,1,1,1,1,1,0,0,Não
4609,1,0,1,1,1,1,0,0,0,Não
4619,1,0,1,1,1,1,0,0,0,Não
4636,0,0,0,0,0,0,0,0,0,Não
4641,1,0,1,1,1,1,1,0,0,Não
4656,1,0,1,0,0,0,0,0,0,Não
4674,1,0,1,1,1,1,1,0,0,Sim
4676,1,0,1,1,1,1,1,0,0,Não
4680,1,0,1,1,1,1,1,0,0,Não
4685,1,0,1,1,1,1,1,0,0,Não
4689,1,0,1,1,1,1,1,0,0,Não
4700,1,0,1,1,1,1,1,0,0,Sim
4718,0,1,0,0,0,0,0,1,1,Não
4732,0,1,1,1,1,1,0,1,1,Não
4744,0,0,1,0,0,0,1,0,0,Não
4750,0,0,0,0,0,0,0,0,0,Não
4759,1,1,1,1,1,1,0,1,0,Sim
4772,1,1,1,1,1,1,0,0,1,Sim
4793,1,0,1,1,1,0,1,0,0,Não
4796,1,1,1,1,1,1,1,1,0,Sim
4804,1,0,1,1,1,1,1,0,0,Sim
4807,1,0,1,1,1,0,0,0,0,Não
4811,0,1,1,1,0,0,1,1,1,Não
4814,1,0,1,1,0,0,1,0,0,Não
4829,0,0,1,1,0,0,1,0,0,Não
4852,0,0,1,1,0,0,0,0,0,Não
4853,0,1,0,0,0,0,1,1,0,Não
4856,0,1,1,1,1,1,0,0,1,Não
4923,1,1,1,1,1,1,0,1,0,Não
4927,1,0,1,1,1,1,1,0,0,Sim
4928,1,0,1,1,1,1,0,0,0,Não
4931,1,1,1,1,1,1,0,0,0,Não
4936,0,1,1,1,1,1,1,1,1,Não
4949,1,1,1,1,1,1,0,1,1,Sim
4988,1,0,1,1,1,1,1,0,0,Não
4991,0,0,1,0,0,0,0,0,0,Não
5015,1,0,1,1,1,1,0,0,0,Não
5016,1,0,1,1,1,1,1,0,0,Não
5036,0,1,1,1,1,1,1,0,1,Sim
5037,0,1,1,1,1,1,1,1,1,Sim
5049,1,0,1,1,1,1,1,0,0,Não
5052,1,0,1,1,1,1,1,0,1,Não
5096,0,0,1,0,0,0,0,0,0,Não
5097,1,1,1,1,1,1,1,0,0,Sim
5137,1,0,0,0,0,0,0,0,0,Não
5139,0,0,0,0,0,0,0,0,0,Não
5152,0,0,1,1,1,1,1,0,0,Sim
5158,0,0,1,1,1,1,1,0,0,Não
5162,1,0,1,1,1,1,0,0,0,Não
5228,0,1,1,1,1,1,1,1,1,Sim
5237,0,1,0,0,0,0,0,1,1,Não
5242,0,1,1,0,0,0,0,1,1,Não
5244,1,0,1,1,1,1,1,0,0,Não
5245,0,0,0,0,0,0,0,0,0,Não
5249,1,1,1,1,1,1,1,0,1,Sim
5254,1,1,0,0,0,0,0,0,0,Sim
5299,0,1,1,0,0,0,0,1,1,Sim
5346,0,1,1,1,1,0,1,0,0,Sim
5356,1,0,0,1,0,1,1,0,0,Não
5361,1,0,1,1,1,1,1,0,0,Sim
5364,1,0,1,1,1,1,1,0,1,Não
5368,1,0,1,1,1,1,1,0,0,Sim
5372,0,1,1,1,1,0,0,0,1,Não
5383,0,0,1,1,0,0,0,0,0,Não
5433,1,0,1,1,1,1,1,0,0,Não
5447,1,0,1,1,1,1,1,0,0,Sim
5458,1,0,0,1,1,0,1,0,0,Não
5459,1,0,1,1,1,1,1,0,0,Não
5469,1,0,1,1,1,1,1,0,0,Sim
5470,1,1,1,1,1,1,1,0,0,Sim
5481,1,0,1,1,1,1,1,0,0,Sim
5482,1,1,1,1,1,1,1,0,1,Sim
5484,0,0,0,0,0,0,0,0,0,Não
5485,1,0,1,1,1,1,1,0,0,Sim
5489,1,1,1,1,1,1,1,0,0,Não
5493,1,0,1,1,1,1,1,0,0,Sim
5506,1,0,1,1,1,1,1,0,0,Sim
5516,1,0,1,1,1,0,1,0,0,Sim
5535,1,0,1,1,1,1,1,0,0,Não
5540,1,1,1,1,1,1,1,0,0,Não
5576,1,0,1,1,1,1,0,0,0,Não
5585,1,0,1,1,0,1,0,0,0,Não
5588,1,1,1,1,1,1,1,0,0,Sim
5622,1,1,1,0,0,0,1,1,1,Sim
5631,1,0,1,1,0,1,1,0,0,Sim
5645,0,1,1,1,1,1,1,0,0,Sim
